"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1984","Verify that name textbox enforces a min length of 3 characters","","Mon Jan 26 22:12:33 UTC 2026","passed","Mon Jan 26 22:12:35 UTC 2026","","","",""
"","1061","Verify that CV download works","","Mon Jan 26 22:12:19 UTC 2026","passed","Mon Jan 26 22:12:20 UTC 2026","","","",""
"","542","Verify that message textbox enforces a max length of 500","","Mon Jan 26 22:12:29 UTC 2026","passed","Mon Jan 26 22:12:29 UTC 2026","","","",""
"","2654","Verify homepage status code is 200","","Mon Jan 26 22:12:14 UTC 2026","passed","Mon Jan 26 22:12:17 UTC 2026","","","",""
"","3156","Verify that all contact form text fields accept user input","","Mon Jan 26 22:12:15 UTC 2026","passed","Mon Jan 26 22:12:18 UTC 2026","","","",""
"","814","Verify that Github link navigates correctly","","Mon Jan 26 22:12:24 UTC 2026","passed","Mon Jan 26 22:12:24 UTC 2026","","","",""
"","5546","Verify homepage performance under load","","Mon Jan 26 22:12:14 UTC 2026","passed","Mon Jan 26 22:12:20 UTC 2026","","","",""
"","1973","Verify that message textbox enforces a min length of 20 characters","","Mon Jan 26 22:12:30 UTC 2026","passed","Mon Jan 26 22:12:32 UTC 2026","","","",""
"","1092","Verify about me section content","","Mon Jan 26 22:12:14 UTC 2026","passed","Mon Jan 26 22:12:15 UTC 2026","","","",""
"","1201","Verify that LinkedIn link navigates correctly","","Mon Jan 26 22:12:26 UTC 2026","passed","Mon Jan 26 22:12:27 UTC 2026","","","",""
"","551","Verify that name textbox enforces a max length of 40","","Mon Jan 26 22:12:32 UTC 2026","passed","Mon Jan 26 22:12:33 UTC 2026","","","",""
"","543","Verify that homepage loads and has correct title","","Mon Jan 26 22:12:25 UTC 2026","passed","Mon Jan 26 22:12:26 UTC 2026","","","",""
"","1963","Verify that email textbox enforces a min length of 3 characters","","Mon Jan 26 22:12:21 UTC 2026","passed","Mon Jan 26 22:12:23 UTC 2026","","","",""
"","555","Verify that email textbox enforces a max length of 60","","Mon Jan 26 22:12:20 UTC 2026","passed","Mon Jan 26 22:12:21 UTC 2026","","","",""
"","862","Verify that projects page link navigates correctly","","Mon Jan 26 22:12:36 UTC 2026","passed","Mon Jan 26 22:12:36 UTC 2026","","","",""
